GPS:ISDE 10:-8370141.6841623:-14094123.160968:24938074.6499701:#FF75C9F1:
GPS:MTMC 01:53101.455063343:22482.5937674046:-22401.9802610874:#FF75C9F1:
GPS:MTMC 02:-345958.636971818:-2402713.97912064:391793.394217364:#FF75C9F1:
GPS:MTMC 03:103295.322539091:115671.518070817:5783226.4767381:#FF75C9F1:
GPS:MTMC 04:-3046768.7745144:19131509.9164267:-9971000.47209034:#FF75C9F1:
GPS:MTMC 05:5646082.18716476:4904917.27503404:-20890600.9970619:#FF75C9F1:
GPS:MTMC 06:-16247180.2210053:11895765.3207406:10663984.0812415:#FF75C9F1:
GPS:MTMC 07:12115683.3052071:9374916.23033323:-17772378.454885:#FF75C9F1:
GPS:MTMC 08:-5384669.66481375:-18606164.1630258:19068547.570427:#FF75C9F1:
GPS:MTMC 09:-1644535.00023797:28303917.1477043:-2911667.17137589:#FF75C9F1:
GPS:ROSB 01:1102349.45262797:177097.174928006:1687151.73991427:#FF75C9F1:
GPS:ROSB 02:-259671.099178657:-2422597.91913407:339122.990737483:#FF75C9F1:
GPS:ROSB 03:-273780.156001538:-2462068.35021049:389556.637391806:#FF75C9F1:
GPS:ROSB 04:3102889.14019917:-216501.146227532:-1255140.00578444:#FF75C9F1:
GPS:ROSB 05:-5029110.59505049:-5942068.39312016:-162803.207911133:#FF75C9F1:
GPS:RTTK 01:1464.18951293081:7822.05640867352:60479.0768427849:#FF75C9F1:
GPS:RTTK 02:1044116.28533858:179282.254800916:1665711.97176898:#FF75C9F1:
GPS:RTTK 03:-260465.722057147:-2379103.02397903:408413.449390541:#FF75C9F1:
GPS:RTTK 04:-218354.445111761:-2406338.91770204:383360.89821678:#FF75C9F1:
GPS:RTTK 05:189014.457116127:112900.765456438:5720751.65071279:#FF75C9F1:
GPS:RTTK 06:187637.66496777:9026406.04822411:-22305304.5357258:#FF75C9F1:
GPS:RTTK 07:1555903.35417916:-20854108.1706266:-13639097.9763063:#FF75C9F1:
GPS:RTTK 08:17075441.3333908:20651587.440657:2182364.89725183:#FF75C9F1:
GPS:RTTK 09:14801675.2725899:21716417.0685467:-11276063.8099791:#FF75C9F1:
GPS:STMC 01:1005159.20736611:164436.819386721:1675606.32281327:#FF75C9F1:
GPS:STMC 02:-3990244.64532804:-17237.1506479979:-754933.849513233:#FF75C9F1:
GPS:STMC 03:90585.6710576713:141575.479098987:5775575.57407986:#FF75C9F1:
GPS:STMC 04:36888.0075367371:238779.890826509:5797593.77079368:#FF75C9F1:
GPS:STMC 05:8348507.37890245:-11216910.7716096:-17900817.1381926:#FF75C9F1:
GPS:STMC 06:11540822.3995352:-2063861.46252889:-21482032.3833032:#FF75C9F1:
GPS:STMC 07:-13127752.273943:-6779814.83035488:20351847.0870877:#FF75C9F1:
GPS:STMC 08:-21297765.0049587:6412433.18472272:11990716.3983768:#FF75C9F1:
GPS:STMC 09:-5410861.19411917:-18750834.3527575:18058806.924426:#FF75C9F1:
GPS:STMC 10:-19500716.7404093:-14511075.279248:-12411026.4863048:#FF75C9F1:
GPS:STMC 11:9020132.82577378:-11196208.8238319:25353514.2648325:#FF75C9F1:
GPS:TFCO 01:23393.977863878:2952.39810536988:-55354.8665094972:#FF75C9F1:
GPS:TFCO 02:14872.1713768244:59460.0540533066:-12018.7321699262:#FF75C9F1:
GPS:TFCO 03:19531.6931756676:132883.298830639:-102074.3417184:#FF75C9F1:
GPS:TFCO 04:1078971.15828939:49285.3845143455:1667952.60442179:#FF75C9F1:
GPS:TFCO 05:-3996906.87214088:-30865.8684657291:-771858.647301704:#FF75C9F1:
GPS:TFCO 06:23306477.7755575:301130.469066738:14083338.1298416:#FF75C9F1:
GPS:TFCO 07:-13926369.211313:-9296841.68208859:22384115.5714461:#FF75C9F1:
GPS:TFCO 08:-15399029.5325182:-25503750.3448903:529966.1158732:#FF75C9F1:
GPS:TFCO 09:-15184531.3218081:12567447.6615274:22548256.5021452:#FF75C9F1:
GPS:UNSB 01:1083233.06556464:197068.441076527:1573911.61312195:#FF75C9F1:
GPS:UNSB 02:-279709.394490441:-2417574.26963409:437447.979038798:#FF75C9F1:
GPS:UNSB 03:95588.3700828552:183128.683449745:5735585.15877706:#FF75C9F1:
GPS:UNSB 04:55054.085725818:175559.729196371:5787597.74061457:#FF75C9F1:
GPS:UNSB 05:2121860.87795921:-4149387.89961346:-4901838.65329171:#FF75C9F1:
